Date,Policy #,Queue
"Tuesday, September 27, 2016",AT10250650,Docattach
"Tuesday, September 27, 2016",AT10259630,Docattach
"Tuesday, September 27, 2016",AT10262390,Docattach
"Tuesday, September 27, 2016",AT10260830,Docattach
"Tuesday, September 27, 2016",AT10265590,Docattach
"Wednesday, September 28, 2016",AT10267010,Docattach
"Wednesday, September 28, 2016",AT10253680,Docattach
"Wednesday, September 28, 2016",AT10269920,Docattach
"Wednesday, September 28, 2016",AT10253960,Docattach
"Wednesday, September 28, 2016",AT10271240,Docattach
"Wednesday, September 28, 2016",AT10268930,Docattach
"Thursday, September 29, 2016",AT10261390,Docattach
"Thursday, September 29, 2016",AT10251190,Docattach
"Thursday, September 29, 2016",AT10270070,Docattach
"Thursday, September 29, 2016",AT10244220,Docattach
"Thursday, September 29, 2016",AT10261570,Docattach
"Thursday, September 29, 2016",AT10250970,Docattach
"Thursday, September 29, 2016",AT10240720,Docattach
"Thursday, September 29, 2016",AT10251250,Docattach
"Friday, September 30, 2016",AU10001990,Docattach
"Friday, September 30, 2016",AT10256070,Docattach
"Friday, September 30, 2016",AT10267170,Docattach
"Friday, September 30, 2016",AT10253720,Docattach
"Friday, September 30, 2016",AT10249820,Docattach
"Friday, September 30, 2016",AT10238140,Docattach
"Friday, September 30, 2016",AT10274280,Docattach
"Friday, September 30, 2016",AT10280600,Docattach
"Friday, September 30, 2016",AU10002210,Docattach
"Friday, September 30, 2016",AT10255510,Docattach
"Friday, September 30, 2016",AT10251540,Docattach
"Friday, September 30, 2016",AT10249060,Docattach
"Friday, September 30, 2016",AT10255500,Docattach
"Saturday, October 1, 2016",AT10254580,Docattach
"Saturday, October 1, 2016",AT10262210,Docattach
"Saturday, October 1, 2016",AT10262210,Docattach
"Saturday, October 1, 2016",AT10260470,Docattach
"Saturday, October 1, 2016",AT10248120,Docattach
"Saturday, October 1, 2016",AT10239040,Docattach
"Saturday, October 1, 2016",AT10249040,Docattach
"Saturday, October 1, 2016",AT10276930,Docattach
"Saturday, October 1, 2016",AT10261670,Docattach
"Saturday, October 1, 2016",AT10272320,Docattach
"Saturday, October 1, 2016",AT10247770,Docattach
"Monday, October 3, 2016",AT10249820,Docattach
"Monday, October 3, 2016",AT10267190,Docattach
"Monday, October 3, 2016",AT10267190,Docattach
"Monday, October 3, 2016",AT10261050,Docattach
"Monday, October 3, 2016",AT10261020,Docattach
"Monday, October 3, 2016",AT10281050,Docattach
"Tuesday, October 4, 2016",AT10262210,Docattach
"Tuesday, October 4, 2016",AT10261020,Docattach
"Tuesday, October 4, 2016",AT10261050,Docattach
"Tuesday, October 4, 2016",AT10274280,Docattach
"Tuesday, October 4, 2016",AT10267190,Docattach
"Tuesday, October 4, 2016",AT10271660,Docattach
"Tuesday, October 4, 2016",AT10281120,Docattach
"Tuesday, October 4, 2016",AT10212220,Docattach
"Tuesday, October 4, 2016",AT10281130,Docattach
"Tuesday, October 4, 2016",AT10269790,Docattach
"Wednesday, October 5, 2016",AT10265740,Docattach
"Wednesday, October 5, 2016",AT10262650,Docattach
"Wednesday, October 5, 2016",AT10269540,Docattach
"Wednesday, October 5, 2016",AT10274600,Docattach
"Wednesday, October 5, 2016",AT10274530,Docattach
"Wednesday, October 5, 2016",AT10271940,Docattach
"Wednesday, October 5, 2016",AT10236300,Docattach
"Wednesday, October 5, 2016",AT10236310,Docattach
"Thursday, October 6, 2016",AT10269790,Docattach
"Thursday, October 6, 2016",AT10252780,Docattach
"Thursday, October 6, 2016",AT10253690,Docattach
"Thursday, October 6, 2016",AT10266530,Docattach
"Thursday, October 6, 2016",AT10257940,Docattach
"Thursday, October 6, 2016",AT10274470,Docattach
"Thursday, October 6, 2016",AT10274480,Docattach
"Thursday, October 6, 2016",AT10263670,Docattach
"Thursday, October 6, 2016",AT10274070,Docattach
"Thursday, October 6, 2016",AT10276360,Docattach
"Thursday, October 6, 2016",AT10254290,Docattach
"Wednesday, October 12, 2016",AT10259850,Docattach
"Wednesday, October 12, 2016",AU10002090,Docattach
"Wednesday, October 12, 2016",AT10250300,Docattach
"Wednesday, October 12, 2016",AT10267080,Docattach
