DATE,POLICY,DETAILS
"Wednesday, July 2, 2014",VF52739540,Decline
"Wednesday, July 2, 2014",VF52706410,Decline
"Wednesday, July 2, 2014",VF52707080,Decline
"Wednesday, July 2, 2014",VF52701740,Return TIA
"Wednesday, July 2, 2014",VF52689840,Return TIA
"Wednesday, July 2, 2014",VF52734410,Return TIA
"Thursday, July 3, 2014",VF52691580,Decline
"Thursday, July 3, 2014",VF52709560,Decline
"Monday, July 7, 2014",VF52706310,Return TIA
"Monday, July 7, 2014",VF52725770,Return TIA
"Monday, July 7, 2014",VF52731020,Return TIA
"Monday, July 7, 2014",VF52730530,Return TIA
"Monday, July 7, 2014",VF52730560,Return TIA
"Tuesday, July 8, 2014",VF52693690,Decline
"Tuesday, July 8, 2014",VF52726860,Decline
"Tuesday, July 8, 2014",VF52711120,Decline
"Tuesday, July 8, 2014",VF52731720,Decline
"Thursday, July 10, 2014",VF52728890,Decline
"Friday, July 11, 2014",VF52725470,Decline
"Friday, July 11, 2014",VF52740510,Decline
"Monday, July 14, 2014",VF52702740,Decline
"Monday, July 14, 2014",VF52733480,Decline
"Monday, August 4, 2014",VF52727000,Decline
"Monday, August 11, 2014",VF52710900,Decline
"Monday, August 11, 2014",VF52744810,Return TIA
"Monday, August 11, 2014",VF52745140,Return TIA
"Thursday, August 14, 2014",VF52698790,Return TIA
"Thursday, August 21, 2014",VF52758710,Decline
"Thursday, August 21, 2014",VF52726550,Decline
"Thursday, August 21, 2014",VF52743940,Return TIA
"Tuesday, September 16, 2014",VF52767280,Decline
"Wednesday, September 17, 2014",VF52735320,Decline
"Tuesday, September 23, 2014",VF52746890,Decline
"Tuesday, September 23, 2014",VF52732020,Decline
"Friday, September 26, 2014",VF52768260,Return TIA
"Friday, September 26, 2014",VF52738170,Decline
"Friday, September 26, 2014",VF52750710,Decline
"Friday, September 26, 2014",VF52748560,Decline
"Monday, September 29, 2014",VF52764660,Return TIA
"Tuesday, September 30, 2014",VF52766200,Decline
"Tuesday, September 30, 2014",VF52742390,Return TIA
"Tuesday, September 30, 2014",VF52733590,Decline
"Tuesday, September 30, 2014",VF52766340,Decline
"Tuesday, September 30, 2014",VF52747690,Decline
"Wednesday, October 1, 2014",VF52741920,Return TIA
"Wednesday, October 1, 2014",VF52732880,Return TIA
"Wednesday, October 1, 2014",VF52741140,Return TIA
"Tuesday, October 7, 2014",VF52742230,Return TIA
"Tuesday, October 7, 2014",VF52765700,Return TIA
"Tuesday, October 7, 2014",VF52771950,Return TIA
"Tuesday, October 7, 2014",VF52738920,Return TIA
"Tuesday, October 7, 2014",VF52745140,Return TIA
"Thursday, October 9, 2014",VF52764110,Decline
"Friday, October 10, 2014",VF52761830,Decline
"Friday, October 10, 2014",VP66161660,Decline
"Monday, October 13, 2014",VF52726970,Decline
"Monday, October 13, 2014",VF52759010,Return TIA
"Monday, October 13, 2014",VF52748580,Decline
"Monday, October 13, 2014",VF52711200,Decline
"Tuesday, October 14, 2014",VF52766210,Decline
"Tuesday, October 14, 2014",VF52771470,Decline
"Tuesday, October 14, 2014",VF52729720,Decline
"Wednesday, October 15, 2014",VF52784700,Decline
"Wednesday, October 15, 2014",VF52763020,Return TIA
"Wednesday, October 15, 2014",VF52749250,Return TIA
"Wednesday, October 15, 2014",VF52745530,Return TIA
"Wednesday, October 15, 2014",VF52749240,Return TIA
"Thursday, October 16, 2014",VF52767090,Decline
"Thursday, October 16, 2014",VF52773570,Decline
"Thursday, October 16, 2014",VF52767630,Decline
"Friday, October 17, 2014",VF52747680,Decline
"Friday, October 17, 2014",VF52764800,Decline
"Friday, October 17, 2014",VF52746690,Decline
"Friday, October 17, 2014",VF52750430,Decline
"Friday, October 17, 2014",VF52759200,Decline
"Friday, October 17, 2014",VF52765810,Decline
"Friday, October 17, 2014",VF52763990,Decline
"Friday, October 17, 2014",VF52771090,Decline
"Friday, October 17, 2014",VP66166120,Decline
"Friday, October 17, 2014",VF52770120,Return TIA
"Friday, October 17, 2014",VF52781270,Decline
"Friday, October 17, 2014",VF52753350,Decline
"Monday, October 20, 2014",VF52751010,Decline
"Monday, October 20, 2014",VF52770250,Decline
"Monday, October 20, 2014",VF52769050,Decline
"Monday, October 20, 2014",VF52749230,Return TIA
"Monday, October 20, 2014",VF52776500,Return TIA
"Tuesday, October 21, 2014",VF52747830,Return TIA
"Tuesday, October 21, 2014",VF52743600,Return TIA
"Tuesday, October 21, 2014",VF52738250,Return TIA
"Tuesday, October 21, 2014",VF52747840,Return TIA
"Wednesday, October 22, 2014",VF52776250,Return TIA
"Wednesday, October 22, 2014",VF52769040,Return TIA
